Tag,DataType,Size,License,Downloads
food and drink,CSV,tiny,CC0,732
crime,CSV,tiny,Other,544
languages,CSV,tiny,CC4,115
healthcare,CSV,tiny,CC0,275
politics,CSV,small,CC0,592
finance,Other,small,CC0,460
food and drink,CSV,large,CC0,998
politics,CSV,large,Other,286
languages,CSV,tiny,CC4,238
finance,CSV,tiny,Other,129
crime,CSV,huge,Other,402
languages,CSV,tiny,Other,79
languages,CSV,huge,Other,365
healthcare,Other,small,CC4,433
healthcare,CSV,medium,CC0,101
crime,CSV,tiny,CC4,595
government agencies,CSV,medium,CC0,263
machine learning,CSV,huge,CC0,53
business,CSV,small,CC0,285
internet,CSV,medium,CC4,977
internet,CSV,medium,CC4,419
finance,CSV,tiny,CC0,332
united states,CSV,tiny,CC4,237
languages,CSV,small,Other,277
crime,CSV,large,CC0,219
government agencies,CSV,medium,CC0,303
healthcare,CSV,large,CC0,307
internet,CSV,medium,CC4,394
cities,CSV,large,CC0,353
cities,CSV,large,CC0,584
cities,CSV,tiny,CC0,650
government agencies,CSV,medium,CC0,268
india,CSV,tiny,CC4,253
linguistics,Other,medium,Other,249
news agencies,CSV,tiny,Other,217
united states,CSV,small,CC0,454
crime,CSV,large,CC0,687
crime,CSV,tiny,Other,237
languages,CSV,large,CC4,97
linguistics,CSV,small,Other,373
finance,CSV,small,ODbL,285
politics,CSV,small,CC0,504
finance,CSV,large,CC0,219
healthcare,CSV,large,Other,313
linguistics,Other,medium,CC4,55
finance,Other,tiny,CC0,324
cities,CSV,small,Other,67
healthcare,CSV,medium,CC0,275
linguistics,SQLite,huge,CC0,156
politics,CSV,tiny,CC0,142
news agencies,CSV,small,CC0,649
crime,CSV,small,CC0,227
languages,CSV,tiny,CC4,115
politics,CSV,tiny,CC0,198
languages,CSV,large,Other,197
government agencies,Other,large,CC0,308
languages,Other,tiny,Other,112
business,CSV,medium,CC0,258
languages,Other,huge,Other,97
healthcare,CSV,medium,CC0,391
food and drink,CSV,large,CC0,314
cities,CSV,small,CC0,187
internet,Other,tiny,CC0,251
machine learning,Other,large,CC0,77
machine learning,Other,large,CC0,319
politics,Other,tiny,Other,78
healthcare,CSV,medium,ODbL,161
internet,CSV,medium,CC4,454
languages,Other,large,Other,119
languages,Other,large,Other,58
news agencies,CSV,large,CC4,189
languages,CSV,large,Other,140
languages,Other,tiny,CC4,87
government agencies,CSV,tiny,Other,113
internet,CSV,medium,CC4,454
languages,Other,large,Other,119
languages,Other,small,Other,246
politics,CSV,tiny,CC0,388
finance,CSV,medium,ODbL,452
healthcare,CSV,small,CC4,330
finance,CSV,tiny,CC4,463
finance,Other,large,CC0,128
cities,CSV,tiny,CC4,207
business,CSV,medium,CC0,83
languages,Other,large,CC0,68
healthcare,CSV,small,CC0,337
business,Other,small,Other,74
crime,CSV,tiny,CC0,632
crime,CSV,large,Other,131
food and drink,CSV,large,Other,314
crime,CSV,tiny,Other,427
languages,CSV,medium,Other,242
cities,CSV,tiny,ODbL,178
languages,Other,small,Other,75
government agencies,CSV,medium,CC0,94
business,CSV,tiny,CC4,426
government agencies,Other,huge,Other,98
government agencies,Other,large,Other,89
government agencies,CSV,huge,Other,157
business,CSV,medium,CC4,233
internet,CSV,tiny,CC4,57
finance,CSV,small,CC0,159
linguistics,Other,small,Other,51
crime,CSV,tiny,ODbL,201
finance,CSV,small,CC0,172
languages,Other,huge,CC4,103
finance,CSV,small,CC4,154
news agencies,Other,huge,CC0,317
cities,CSV,tiny,Other,260
finance,CSV,small,Other,312
business,Other,huge,CC0,243
united states,CSV,small,CC0,221
politics,{}JSON,tiny,CC4,67
healthcare,CSV,medium,Other,82
government agencies,CSV,medium,CC0,321
finance,CSV,small,CC0,363
cities,CSV,tiny,CC0,207
crime,CSV,small,ODbL,247
india,CSV,large,CC4,142
finance,CSV,medium,CC0,132
video games,CSV,large,CC0,64
languages,Other,medium,CC0,75
crime,CSV,medium,CC0,153
politics,CSV,tiny,CC0,159
video games,SQLite,small,ODbL,180
politics,CSV,tiny,CC0,240
news agencies,CSV,large,CC0,182
politics,CSV,tiny,CC0,144
business,CSV,large,ODbL,311
linguistics,Other,huge,CC4,151
news agencies,CSV,tiny,Other,384
finance,CSV,medium,Other,98
crime,CSV,small,Other,156
crime,CSV,medium,CC0,372
politics,CSV,tiny,CC0,320
languages,CSV,small,ODbL,83
finance,Other,tiny,ODbL,174
video games,CSV,large,CC4,201
video games,CSV,tiny,Other,145
politics,CSV,small,CC4,89
cities,CSV,tiny,CC0,73
healthcare,Other,large,Other,100
crime,CSV,medium,ODbL,116
food and drink,CSV,tiny,Other,312
video games,CSV,tiny,CC4,142
politics,CSV,tiny,Other,200
languages,CSV,tiny,CC4,98
languages,Other,tiny,CC4,474
languages,{}JSON,medium,Other,59
food and drink,CSV,medium,CC0,139
government agencies,Other,huge,CC0,112
crime,Other,huge,Other,91
india,CSV,large,CC4,137
business,Other,medium,CC0,56
business,CSV,tiny,Other,207
india,CSV,small,CC4,205
government agencies,CSV,medium,CC0,122
government agencies,CSV,medium,CC0,153
cities,CSV,medium,CC0,100
food and drink,Other,huge,Other,62
business,CSV,tiny,Other,98
healthcare,CSV,tiny,Other,78
politics,Other,small,CC0,90
healthcare,CSV,tiny,ODbL,112
food and drink,CSV,tiny,CC0,162
crime,CSV,large,CC0,141
linguistics,Other,medium,Other,129
government agencies,CSV,medium,CC0,146
government agencies,CSV,medium,Other,55
politics,CSV,medium,CC0,102
finance,CSV,small,CC0,321
business,CSV,tiny,CC0,126
languages,{}JSON,tiny,CC4,51
government agencies,CSV,huge,CC0,160
government agencies,CSV,huge,Other,119
government agencies,CSV,huge,Other,120
politics,CSV,tiny,CC0,98
video games,CSV,tiny,CC0,172
popular culture,CSV,tiny,CC0,250
healthcare,CSV,tiny,CC0,200
news agencies,CSV,tiny,Other,79
news agencies,CSV,tiny,Other,219
politics,CSV,large,Other,158
finance,CSV,tiny,Other,603
video games,CSV,tiny,CC0,96
crime,CSV,large,Other,344
healthcare,CSV,small,ODbL,318
crime,CSV,tiny,Other,155
cities,CSV,large,Other,78
food and drink,CSV,medium,Other,355
india,CSV,medium,CC4,55
india,CSV,tiny,CC0,197
finance,CSV,medium,CC0,86
politics,CSV,small,CC0,157
crime,CSV,medium,CC0,163
languages,CSV,tiny,ODbL,71
food and drink,Other,huge,Other,62
healthcare,CSV,tiny,Other,78
politics,Other,small,CC0,90
healthcare,Other,tiny,CC0,116
government agencies,CSV,small,Other,82
languages,Other,medium,Other,86
politics,CSV,small,Other,124
food and drink,Other,tiny,CC0,85
business,CSV,tiny,Other,183
crime,CSV,large,CC0,329
languages,{}JSON,large,CC4,72
politics,CSV,tiny,CC4,86
languages,CSV,small,Other,62
internet,CSV,small,CC4,129
video games,CSV,tiny,Other,149
popular culture,CSV,tiny,CC0,129
food and drink,CSV,tiny,CC0,279
news agencies,Other,large,Other,86
united states,CSV,tiny,CC0,55
cities,CSV,small,Other,223
crime,Other,medium,Other,94
crime,Other,huge,Other,67
linguistics,CSV,large,Other,91
india,CSV,tiny,CC4,341
india,Other,huge,CC4,154
india,CSV,tiny,CC0,69
business,CSV,tiny,CC0,56
linguistics,Other,huge,CC4,53
finance,Other,small,CC4,137
politics,CSV,large,CC0,135
healthcare,CSV,tiny,ODbL,290
government agencies,CSV,large,CC0,79
healthcare,CSV,small,CC4,51
finance,CSV,small,CC0,86
government agencies,CSV,medium,CC0,89
healthcare,Other,large,Other,114
business,CSV,tiny,Other,86
business,CSV,tiny,CC4,79
finance,CSV,tiny,CC0,108
healthcare,CSV,small,CC0,64
crime,Other,large,Other,56
linguistics,CSV,small,CC0,119
finance,CSV,tiny,CC0,87
business,CSV,tiny,Other,72
government agencies,Other,large,Other,71
finance,CSV,tiny,Other,88
cities,CSV,medium,Other,60
crime,Other,tiny,CC0,60
india,CSV,tiny,CC0,63
popular culture,CSV,tiny,Other,54
internet,Other,small,CC0,75
united states,CSV,tiny,CC0,250
healthcare,CSV,tiny,ODbL,137
finance,CSV,tiny,Other,146
crime,CSV,small,CC0,136
politics,CSV,huge,CC0,158
popular culture,CSV,tiny,ODbL,63
linguistics,CSV,small,Other,69
politics,{}JSON,large,Other,150
politics,CSV,tiny,Other,121
news agencies,CSV,tiny,Other,69
internet,CSV,small,CC0,57
united states,CSV,small,CC0,116
finance,CSV,small,CC4,158
food and drink,CSV,tiny,Other,100
business,CSV,tiny,CC0,115
crime,CSV,medium,CC0,95
healthcare,Other,tiny,CC4,96
government agencies,CSV,small,CC0,82
cities,CSV,medium,CC0,52
food and drink,CSV,tiny,CC0,109
business,Other,tiny,CC0,70
business,Other,small,CC0,76
business,CSV,medium,ODbL,60
linguistics,Other,tiny,Other,59
food and drink,CSV,tiny,CC0,61
languages,CSV,tiny,Other,103
cities,CSV,huge,Other,60
united states,CSV,medium,Other,54
politics,CSV,tiny,CC0,60
finance,CSV,small,Other,405
politics,CSV,medium,CC0,74
business,CSV,small,Other,87
cities,Other,small,CC0,52
linguistics,Other,large,CC0,92
finance,CSV,tiny,CC4,53
united states,CSV,tiny,CC0,52
